Bowler,O,M,R,W,Econ,Dots,Score
G Coetzee,4,0,36,1,9,5,35
G Coetzee,2,0,10,1,5,6,40
G Coetzee,3,0,34,0,11.33,5,1
G Coetzee,3,0,51,0,17,5,-1
I Sharma ,2,0,17,0,8.5,5,5
I Sharma ,2,0,27,1,13.5,4,28
I Sharma ,4,0,53,0,13.25,5,-1
I Sharma ,3,0,19,1,6.33,5,37
I Sharma ,2,0,18,1,9,5,35
I Sharma ,2,0,36,0,18,4,-2
I Sharma ,3.2,0,35,1,10.5,7,35
K Rabada,4,0,41,1,10.25,8,36
K Rabada,4,0,42,1,10.5,6,34
K Rabada,2,0,34,0,17,2,-4
K Rabada,4,0,45,0,11.25,8,4
Karim Janat,1,0,30,0,30,0,0
K Khejroliya ,3,0,29,1,9.67,4,34
Mohammed Siraj,4,0,54,0,13.5,10,4
Mohammed Siraj,4,0,34,2,8.5,12,72
Mohammed Siraj,4,0,19,3,4.75,14,114
Mohammed Siraj,4,0,17,4,4.25,17,155
Mohammed Siraj,4,0,30,1,7.5,15,45
Mohammed Siraj,4,0,50,0,12.5,5,-1
Mohammed Siraj,4,0,47,1,11.75,7,33
Mohammed Siraj,4,0,32,1,8,13,43
Mohammed Siraj,2,0,24,0,12,4,-2
Mohammed Siraj,4,0,33,2,8.25,10,70
Mohammed Siraj,3,0,29,1,9.67,7,37
Mohammed Siraj,4,0,37,0,9.25,11,11
Mohammed Siraj,4,0,37,0,9.25,10,10
Mohammed Siraj,4,0,47,0,11.75,9,5
Mohammed Siraj,4,0,37,1,9.25,7,37
Arshad Khan,1,0,21,0,21,1,1
Arshad Khan,2,0,17,1,8.5,6,36
Arshad Khan,2,0,19,1,9.5,5,35
Arshad Khan,2,0,11,0,5.5,7,11
Arshad Khan,4,0,46,1,11.5,6,32
Arshad Khan,3,0,18,1,6,10,42
Arshad Khan,2,0,7,1,3.5,8,44
Arshad Khan,3,0,36,1,12,5,29
Arshad Khan,2,0,42,0,21,1,-5
M Prasidh Krishna ,4,0,18,2,4.5,14,80
M Prasidh Krishna ,4,0,26,1,6.5,13,45
M Prasidh Krishna ,4,0,25,2,6.25,9,71
M Prasidh Krishna ,4,0,24,3,6,12,108
M Prasidh Krishna ,4,0,41,4,10.25,8,138
M Prasidh Krishna ,4,0,25,2,6.25,12,74
M Prasidh Krishna ,4,0,47,1,11.75,7,33
M Prasidh Krishna ,4,0,19,2,4.75,10,76
M Prasidh Krishna ,4,0,53,2,13.25,7,61
M Prasidh Krishna ,3,0,41,0,13.67,6,0
M Prasidh Krishna ,4,0,26,2,6.5,11,73
M Prasidh Krishna ,4,0,37,1,9.25,10,40
M Prasidh Krishna ,4,0,40,1,10,6,34
M Prasidh Krishna ,4,0,44,0,11,6,2
M Prasidh Krishna ,4,0,22,2,5.5,15,79
Rashid Khan,4,0,48,1,12,8,32
Rashid Khan,2,0,10,0,5,4,8
Rashid Khan,4,0,54,0,13.5,6,0
Rashid Khan,4,0,31,0,7.75,9,9
Rashid Khan,4,0,37,2,9.25,6,66
Rashid Khan,4,0,35,1,8.75,7,37
Rashid Khan,4,0,38,0,9.5,3,3
Rashid Khan,4,0,25,2,6.25,11,73
Rashid Khan,4,0,24,1,6,10,42
Rashid Khan,3,0,50,0,16.67,1,-5
Rashid Khan,4,0,21,1,5.25,9,43
Rashid Khan,4,0,32,0,8,4,4
Rashid Khan,2,0,36,0,18,2,-4
Rashid Khan,4,0,42,1,10.5,5,33
Rashid Khan,4,0,31,0,7.75,9,9
R Sai Kishore ,4,0,30,3,7.5,12,106
R Sai Kishore ,4,0,37,1,9.25,6,36
R Sai Kishore ,4,0,22,2,5.5,11,75
R Sai Kishore ,4,0,24,2,6,7,69
R Sai Kishore ,2.2,0,20,2,8.57,3,63
R Sai Kishore ,1.3,0,35,0,23.33,0,0
R Sai Kishore ,1,0,9,1,9,2,32
R Sai Kishore ,3,0,19,1,6.33,4,36
R Sai Kishore ,1,0,16,0,16,2,2
R Sai Kishore ,0.4,0,1,0,1.5,3,3
R Sai Kishore ,4,0,34,2,8.5,5,65
R Sai Kishore ,4,0,47,1,11.75,6,32
R Sai Kishore ,3,0,34,1,11.33,7,33
R Sai Kishore ,2,0,23,1,11.5,3,29
R Sai Kishore ,4,0,42,2,10.5,6,64
M Shahrukh Khan,1,0,13,1,13,1,31
Washington Sundar,4,0,28,1,7,10,40
Washington Sundar,3,0,36,1,12,2,26
Washington Sundar,1.5,0,34,0,18.55,1,1
Washington Sundar,1,0,6,0,6,1,1
Washington Sundar,1,0,7,0,7,2,2