Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
MM Ali ,CSK,2022,10,10,0,244,93,out,24.4,177,137.85,0,1,2,24,11
MM Ali ,CSK,2023,15,10,3,124,23,out,17.71,91,136.26,0,0,0,12,6
MM Ali ,CSK,2024,8,5,0,128,56,out,25.6,98,130.61,0,1,0,7,8
MM Ali ,KKR,2025,6,2,0,5,5,out,2.5,14,35.71,0,0,1,0,0
MM Ali ,RCB,2020,3,3,0,12,11,out,4,16,75,0,0,1,1,0
MM Sharma ,DC,2025,7,2,1,1,1,not out,1,3,33.33,0,0,1,0,0
Mohammad Nabi ,MI,2024,7,5,1,35,23,out,8.75,31,112.9,0,0,1,2,2
Mohammad Nabi ,SRH,2020,1,1,1,11,11,not out,0,8,137.5,0,0,0,2,0
Mohammad Nabi ,SRH,2021,3,3,0,34,17,out,11.33,20,170,0,0,0,3,2
Mohammed Shami ,GT,2023,17,2,0,5,5,out,2.5,6,83.33,0,0,1,1,0
Mohammed Shami ,PBKS,2020,14,3,2,2,2,not out,2,3,66.66,0,0,1,0,0
Mohammed Shami ,PBKS,2021,14,4,3,13,9,not out,13,17,76.47,0,0,0,0,0
Mohammed Shami ,SRH,2025,9,4,3,10,6,not out,10,10,100,0,0,0,1,0
Mohammed Siraj ,RCB,2020,9,3,2,17,10,not out,17,14,121.42,0,0,0,2,0
Mohammed Siraj ,RCB,2021,15,4,3,20,12,not out,20,26,76.92,0,0,0,1,1
Mohammed Siraj ,RCB,2022,15,5,3,30,14,not out,15,33,90.9,0,0,0,5,0
Mohammed Siraj ,RCB,2024,14,3,1,12,12,out,6,8,150,0,0,1,0,2
Mohsin Khan ,LSG,2022,9,3,2,23,13,not out,23,16,143.75,0,0,0,2,1
MP Stoinis ,DC,2020,17,17,3,352,65,out,25.14,237,148.52,0,3,1,31,16
MP Stoinis ,DC,2021,10,7,3,89,27,not out,22.25,72,123.61,0,0,1,11,1
MP Stoinis ,LSG,2022,11,10,2,156,38,not out,19.5,106,147.16,0,0,1,7,13
MP Stoinis ,LSG,2023,15,15,2,408,89,not out,31.38,272,150,0,3,2,28,27
MP Stoinis ,LSG,2024,14,14,2,388,124,not out,32.33,263,147.52,1,2,1,39,16
MP Stoinis ,PBKS,2025,9,7,3,82,34,not out,20.5,49,167.34,0,0,0,3,8
MR Marsh ,DC,2022,8,8,0,251,89,out,31.37,189,132.8,0,2,1,19,14
MR Marsh ,DC,2023,9,9,0,128,63,out,14.22,97,131.95,0,1,2,11,7
MR Marsh ,DC,2024,4,4,0,61,23,out,15.25,38,160.52,0,0,1,9,3
MR Marsh ,LSG,2025,10,10,0,378,81,out,37.8,243,155.55,0,4,2,36,20
MR Marsh ,SRH,2020,1,1,0,0,0,out,0,1,0,0,0,1,0,0
MS Bhandage ,RCB,2025,1,1,0,1,1,out,1,4,25,0,0,0,0,0
MS Dhoni ,CSK,2020,14,12,4,200,47,not out,25,172,116.27,0,0,0,16,7
MS Dhoni ,CSK,2021,16,11,4,114,18,not out,16.28,107,106.54,0,0,1,12,3
MS Dhoni ,CSK,2022,14,13,6,232,50,not out,33.14,188,123.4,0,1,0,21,10
MS Dhoni ,CSK,2023,16,12,8,104,32,not out,26,57,182.45,0,0,1,3,10
MS Dhoni ,CSK,2024,14,11,8,161,37,not out,53.66,73,220.54,0,0,1,14,13
MS Dhoni ,CSK,2025,12,12,5,180,30,not out,25.71,128,140.62,0,0,0,12,11
MS Wade ,GT,2022,10,10,0,157,35,out,15.7,138,113.76,0,0,0,23,2
MS Wade ,GT,2024,2,1,0,4,4,out,4,6,66.66,0,0,0,0,0
Mujeeb Ur Rahman ,PBKS,2020,2,1,0,1,1,out,1,3,33.33,0,0,0,0,0
Mujeeb Ur Rahman ,SRH,2021,1,1,1,1,1,not out,0,1,100,0,0,0,0,0
Mukesh Choudhary ,CSK,2022,13,2,1,6,4,out,6,6,100,0,0,0,1,0
Mukesh Kumar ,DC,2023,10,3,3,7,6,not out,0,9,77.77,0,0,0,0,0
Mukesh Kumar ,DC,2024,10,2,1,3,3,out,3,9,33.33,0,0,0,0,0
Mustafizur Rahman ,RR,2021,14,5,5,8,8,not out,0,14,57.14,0,0,0,0,1
MW Short ,PBKS,2023,6,6,0,117,36,out,19.5,92,127.17,0,0,0,15,4
N Jagadeesan ,CSK,2020,5,2,0,33,33,out,16.5,29,113.79,0,0,1,4,0
N Jagadeesan ,CSK,2022,2,2,1,40,39,not out,40,37,108.1,0,0,0,3,1
N Jagadeesan ,KKR,2023,6,6,0,89,36,out,14.83,81,109.87,0,0,1,14,1
N Pooran ,LSG,2023,15,15,3,358,62,out,29.83,207,172.94,0,2,2,26,26
N Pooran ,LSG,2024,14,14,6,499,75,out,62.37,280,178.21,0,3,1,35,36
N Pooran ,LSG,2025,11,11,1,410,87,not out,41,204,200.98,0,4,0,34,34
N Pooran ,PBKS,2020,14,14,4,353,77,out,35.3,208,169.71,0,2,1,23,25
N Pooran ,PBKS,2021,12,11,0,85,32,out,7.72,76,111.84,0,0,4,3,5
N Pooran ,SRH,2022,14,13,5,306,64,not out,38.25,212,144.33,0,2,1,16,21
N Rana ,KKR,2020,14,14,0,352,87,out,25.14,254,138.58,0,3,3,43,12
N Rana ,KKR,2021,17,16,3,383,80,out,29.46,314,121.97,0,2,2,34,17
N Rana ,KKR,2022,14,14,1,361,57,out,27.76,251,143.82,0,2,1,29,22
N Rana ,KKR,2023,14,14,1,413,75,out,31.76,293,140.95,0,3,0,39,20
N Rana ,KKR,2024,2,2,0,42,33,out,21,34,123.52,0,0,0,5,1
N Rana ,RR,2025,11,11,1,217,81,out,21.7,134,161.94,0,2,0,27,9
N Wadhera ,MI,2023,14,10,1,241,64,out,26.77,166,145.18,0,2,1,23,12
N Wadhera ,MI,2024,6,6,0,109,49,out,18.16,84,129.76,0,0,0,9,6
N Wadhera ,PBKS,2025,11,9,2,210,62,out,30,141,148.93,0,1,0,17,13
NA Saini ,RCB,2020,13,3,2,27,12,not out,27,27,100,0,0,0,3,0
NA Saini ,RCB,2021,2,1,0,2,2,out,2,4,50,0,0,0,0,0
Naman Dhir ,MI,2024,7,7,1,140,62,not out,23.33,79,177.21,0,1,2,12,10
Naman Dhir ,MI,2025,12,8,3,162,46,out,32.4,94,172.34,0,0,1,15,8
Naveen0ul0Haq ,LSG,2023,8,3,2,16,13,out,16,21,76.19,0,0,0,2,0
NM Coulter0Nile ,MI,2020,7,2,1,25,24,not out,25,15,166.66,0,0,0,4,0
NM Coulter0Nile ,MI,2021,5,2,0,4,3,out,2,5,80,0,0,0,0,0
Noor Ahmad ,CSK,2025,12,5,1,5,2,out,1.25,16,31.25,0,0,1,0,0
Noor Ahmad ,GT,2023,13,3,1,8,7,not out,4,9,88.88,0,0,1,1,0
Noor Ahmad ,GT,2024,10,4,2,5,4,out,2.5,9,55.55,0,0,0,1,0
NS Naik ,KKR,2020,1,1,0,1,1,out,1,3,33.33,0,0,0,0,0
NT Ellis ,PBKS,2021,3,2,1,18,12,out,18,16,112.5,0,0,0,0,1
NT Tilak Varma ,MI,2022,14,14,3,397,61,out,36.09,303,131.02,0,2,1,29,16
NT Tilak Varma ,MI,2023,11,11,3,343,84,not out,42.87,209,164.11,0,1,0,26,23
NT Tilak Varma ,MI,2024,13,13,3,416,65,out,41.6,278,149.64,0,3,0,35,19
NT Tilak Varma ,MI,2025,12,9,2,246,59,out,35.14,177,138.98,0,2,0,20,10
OC McCoy ,RR,2022,7,1,0,8,8,out,8,5,160,0,0,0,0,1
OF Smith ,PBKS,2022,6,6,3,51,25,not out,17,44,115.9,0,0,1,1,5
P Arya ,PBKS,2025,12,12,0,417,103,out,34.75,214,194.85,1,2,1,42,28
P Dubey ,DC,2020,3,1,1,7,7,not out,0,13,53.84,0,0,0,0,0
P Dubey ,DC,2023,1,1,0,16,16,out,16,20,80,0,0,0,2,0
PBB Rajapaksa ,PBKS,2022,9,9,0,206,43,out,22.88,129,159.68,0,0,0,16,13
PBB Rajapaksa ,PBKS,2023,4,4,1,71,50,out,23.66,62,114.51,0,1,1,6,2
PD Salt ,DC,2023,9,9,1,218,87,out,27.25,133,163.9,0,2,2,24,10
PD Salt ,KKR,2024,12,12,1,435,89,not out,39.54,239,182,0,4,1,50,24
PD Salt ,RCB,2025,9,9,0,239,65,out,26.55,142,168.3,0,2,0,30,13
PHKD Mendis ,SRH,2025,4,4,1,60,32,not out,20,48,125,0,0,1,4,2
PJ Cummins ,KKR,2020,14,11,4,146,53,not out,20.85,114,128.07,0,1,0,9,8
PJ Cummins ,KKR,2021,7,5,2,93,66,not out,31,56,166.07,0,1,1,5,8
PJ Cummins ,KKR,2022,5,5,1,63,56,not out,15.75,24,262.5,0,1,2,5,6
PJ Cummins ,SRH,2024,16,10,4,136,35,not out,22.66,95,143.15,0,0,0,9,8
PJ Cummins ,SRH,2025,11,8,4,84,22,not out,21,52,161.53,0,0,0,6,6
PK Garg ,DC,2023,2,2,0,22,12,out,11,23,95.65,0,0,0,1,0
PK Garg ,SRH,2020,14,10,1,133,51,not out,14.77,111,119.81,0,1,1,9,4
PK Garg ,SRH,2021,5,5,0,72,29,out,14.4,74,97.29,0,0,1,2,3
PK Garg ,SRH,2022,2,2,0,46,42,out,23,33,139.39,0,0,0,4,2
PN Mankad ,LSG,2023,5,5,2,93,64,not out,31,72,129.16,0,1,1,12,2
PN Mankad ,PBKS,2022,1,1,1,4,4,not out,0,1,400,0,0,0,1,0
PP Chawla ,MI,2021,1,1,0,0,0,out,0,2,0,0,0,1,0,0
PP Chawla ,MI,2023,16,4,2,25,18,out,12.5,22,113.63,0,0,1,1,1
PP Chawla ,MI,2024,11,6,2,15,10,out,3.75,15,100,0,0,2,1,1
PP Shaw ,DC,2020,13,13,0,228,66,out,17.53,167,136.52,0,2,3,27,8
PP Shaw ,DC,2021,15,15,0,479,82,out,31.93,301,159.13,0,4,0,56,18
PP Shaw ,DC,2022,10,10,0,283,61,out,28.3,185,152.97,0,2,1,37,10
PP Shaw ,DC,2023,8,8,0,106,54,out,13.25,85,124.7,0,1,2,16,1
PP Shaw ,DC,2024,8,8,0,198,66,out,24.75,121,163.63,0,1,0,30,5
Prabhsimran Singh ,PBKS,2020,2,2,0,15,11,out,7.5,15,100,0,0,0,2,0
Prabhsimran Singh ,PBKS,2021,2,2,0,19,12,out,9.5,23,82.6,0,0,0,1,1
Prabhsimran Singh ,PBKS,2022,1,1,0,14,14,out,14,11,127.27,0,0,0,2,0
Prabhsimran Singh ,PBKS,2023,14,14,0,358,103,out,25.57,238,150.42,1,1,2,38,19
Prabhsimran Singh ,PBKS,2024,14,14,0,334,71,out,23.85,213,156.8,0,2,1,34,20
Prabhsimran Singh ,PBKS,2025,12,12,1,487,91,out,44.27,285,170.87,0,5,1,52,24
Prince Yadav ,LSG,2025,6,2,2,5,4,not out,0,10,50,0,0,0,0,0
PVD Chameera ,DC,2025,5,2,2,2,2,not out,0,4,50,0,0,0,0,0
PVD Chameera ,LSG,2022,12,8,4,43,17,out,10.75,28,153.57,0,0,2,3,3
PVSN Raju ,MI,2025,2,1,1,1,1,not out,0,1,100,0,0,0,0,0
PW Hasaranga ,RCB,2021,2,2,1,1,1,not out,1,2,50,0,0,1,0,0
PW Hasaranga ,RCB,2022,16,7,0,38,18,out,5.42,43,88.37,0,0,2,4,1
PW Hasaranga ,RCB,2023,8,5,3,33,12,not out,16.5,28,117.85,0,0,0,3,0
PW Hasaranga ,RR,2025,9,4,0,9,4,out,2.25,14,64.28,0,0,1,0,0
PWA Mulder ,SRH,2025,1,1,0,9,9,out,9,11,81.81,0,0,0,1,0
Q de Kock ,KKR,2025,7,7,1,143,97,not out,23.83,104,137.5,0,1,0,9,11
Q de Kock ,LSG,2022,15,15,1,508,140,not out,36.28,341,148.97,1,3,0,47,23
Q de Kock ,LSG,2023,4,4,0,143,70,out,35.75,102,140.19,0,1,0,10,8
Q de Kock ,LSG,2024,11,11,0,250,81,out,22.72,186,134.4,0,3,1,29,9
Q de Kock ,MI,2020,16,16,2,503,78,not out,35.92,358,140.5,0,4,1,46,22
Q de Kock ,MI,2021,11,11,1,297,70,not out,29.7,256,116.01,0,2,0,29,7
R Ashwin ,CSK,2025,8,3,0,20,11,out,6.66,22,90.9,0,0,0,2,0
R Ashwin ,DC,2020,15,6,3,37,14,not out,12.33,34,108.82,0,0,0,3,1
R Ashwin ,DC,2021,13,5,2,44,20,not out,14.66,42,104.76,0,0,0,2,1
R Ashwin ,RR,2022,17,12,5,191,50,out,27.28,135,141.48,0,1,0,14,9
R Ashwin ,RR,2023,13,10,4,67,30,out,11.16,51,131.37,0,0,2,5,3
R Ashwin ,RR,2024,15,9,3,86,29,out,14.33,74,116.21,0,0,1,5,4
R Dhawan ,PBKS,2022,6,4,2,37,21,not out,18.5,40,92.5,0,0,0,4,2
R Dhawan ,PBKS,2023,6,3,1,20,19,out,10,12,166.66,0,0,0,1,1
R Minz ,MI,2025,2,2,0,6,3,out,3,15,40,0,0,0,0,0
R Parag ,RR,2020,12,8,1,86,42,not out,12.28,77,111.68,0,0,2,6,3
R Parag ,RR,2021,11,10,2,93,25,out,11.62,83,112.04,0,0,1,6,4
R Parag ,RR,2022,17,14,3,183,56,not out,16.63,132,138.63,0,1,0,11,10
R Parag ,RR,2023,7,7,1,78,20,out,13,66,118.18,0,0,0,4,5
R Parag ,RR,2024,16,14,3,573,84,not out,52.09,384,149.21,0,4,0,40,33
R Parag ,RR,2025,12,12,2,377,95,out,37.7,221,170.58,0,1,0,27,26
R Powell ,DC,2022,14,12,2,250,67,not out,25,167,149.7,0,1,2,10,22
R Powell ,DC,2023,3,3,0,7,4,out,2.33,9,77.77,0,0,0,1,0
R Powell ,KKR,2025,2,1,0,5,5,out,5,5,100,0,0,0,1,0
R Powell ,RR,2024,10,7,1,103,27,out,17.16,68,151.47,0,0,0,10,6
R Ravindra ,CSK,2024,10,10,0,222,61,out,22.2,138,160.86,0,1,1,22,12
R Ravindra ,CSK,2025,8,8,1,191,65,not out,27.28,149,128.18,0,1,1,18,4
R Sai Kishore ,GT,2024,5,2,1,13,13,out,13,6,216.66,0,0,0,0,2
R Sai Kishore ,GT,2025,11,1,0,1,1,out,1,1,100,0,0,0,0,0
R Shepherd ,MI,2024,6,5,3,57,39,not out,28.5,21,271.42,0,0,0,5,5
R Shepherd ,RCB,2025,4,1,1,53,53,not out,0,14,378.57,0,1,0,4,6
R Shepherd ,SRH,2022,3,3,1,58,26,not out,29,41,141.46,0,0,0,2,5
R Tewatia ,GT,2022,16,12,5,217,43,not out,31,147,147.61,0,0,0,22,9
R Tewatia ,GT,2023,17,10,6,87,20,not out,21.75,57,152.63,0,0,0,3,7
R Tewatia ,GT,2024,12,9,2,188,36,not out,26.85,129,145.73,0,0,0,24,5
R Tewatia ,GT,2025,11,9,3,67,24,not out,11.16,35,191.42,0,0,3,4,6
R Tewatia ,RR,2020,14,11,5,255,53,out,42.5,183,139.34,0,1,0,13,17
R Tewatia ,RR,2021,14,11,1,155,44,out,15.5,147,105.44,0,0,0,11,6
RA Bawa ,PBKS,2022,2,2,0,11,11,out,5.5,14,78.57,0,0,1,1,0
RA Jadeja ,CSK,2020,14,11,6,232,50,out,46.4,135,171.85,0,1,0,22,11
RA Jadeja ,CSK,2021,16,12,9,227,62,not out,75.66,156,145.51,0,1,0,19,9
RA Jadeja ,CSK,2022,10,10,4,116,26,not out,19.33,98,118.36,0,0,2,6,5
RA Jadeja ,CSK,2023,16,12,4,190,25,not out,23.75,133,142.85,0,0,0,11,9
RA Jadeja ,CSK,2024,14,11,5,267,57,not out,44.5,187,142.78,0,1,0,22,8
RA Jadeja ,CSK,2025,12,12,4,279,77,not out,34.87,199,140.2,0,2,1,24,9
RA Tripathi ,CSK,2025,5,5,0,55,23,out,11,57,96.49,0,0,0,6,1
RA Tripathi ,KKR,2020,11,11,1,230,81,out,23,181,127.07,0,1,0,21,10
RA Tripathi ,KKR,2021,17,16,2,397,74,not out,28.35,283,140.28,0,2,0,41,11
RA Tripathi ,SRH,2022,14,14,3,413,76,out,37.54,261,158.23,0,3,2,40,20
RA Tripathi ,SRH,2023,13,13,1,273,74,not out,22.75,213,128.16,0,1,1,29,10
RA Tripathi ,SRH,2024,6,6,0,165,55,out,27.5,115,143.47,0,1,0,18,6
Rahmanullah Gurbaz ,KKR,2023,11,11,0,227,81,out,20.63,170,133.52,0,2,2,17,15
Rahmanullah Gurbaz ,KKR,2024,3,2,0,62,39,out,31,46,134.78,0,0,0,7,4
Rahmanullah Gurbaz ,KKR,2025,5,5,1,74,35,out,18.5,53,139.62,0,0,0,10,3
Ramandeep Singh ,KKR,2024,15,9,5,125,35,out,31.25,62,201.61,0,0,0,5,12
Ramandeep Singh ,KKR,2025,10,6,2,34,22,out,8.5,30,113.33,0,0,1,1,2
Ramandeep Singh ,MI,2022,5,4,2,45,14,not out,22.5,40,112.5,0,0,0,3,1
Rashid Khan ,GT,2022,16,8,4,91,40,out,22.75,44,206.81,0,0,3,3,9
Rashid Khan ,GT,2023,17,9,5,130,79,not out,32.5,60,216.66,0,1,2,8,13
Rashid Khan ,GT,2024,12,8,3,102,31,out,20.4,71,143.66,0,0,1,11,3
Rashid Khan ,GT,2025,11,5,1,24,12,out,6,14,171.42,0,0,1,1,2
Rashid Khan ,SRH,2020,16,7,3,35,14,out,8.75,30,116.66,0,0,1,3,2
Rashid Khan ,SRH,2021,14,10,2,83,22,out,10.37,69,120.28,0,0,3,9,2
Rasikh Salam ,DC,2024,8,4,0,28,10,out,7,30,93.33,0,0,0,4,0
Rasikh Salam ,KKR,2022,2,1,0,7,7,out,7,6,116.66,0,0,0,1,0
Ravi Bishnoi ,LSG,2023,15,7,4,20,5,out,6.66,27,74.07,0,0,0,1,0
Ravi Bishnoi ,LSG,2024,14,3,0,4,2,out,1.33,6,66.66,0,0,1,0,0
Ravi Bishnoi ,LSG,2025,10,2,0,13,13,out,6.5,16,81.25,0,0,1,0,2
Ravi Bishnoi ,PBKS,2020,14,3,2,7,6,not out,7,12,58.33,0,0,0,1,0
Ravi Bishnoi ,PBKS,2021,9,1,0,1,1,out,1,4,25,0,0,0,0,0
RD Chahar ,MI,2020,15,1,1,2,2,not out,0,4,50,0,0,0,0,0
RD Chahar ,MI,2021,11,5,0,14,8,out,2.8,15,93.33,0,0,3,1,0
RD Chahar ,PBKS,2022,13,8,2,77,25,not out,12.83,68,113.23,0,0,2,7,4
RD Chahar ,PBKS,2024,9,2,1,21,16,out,21,15,140,0,0,0,3,1
RD Gaikwad ,CSK,2020,6,6,2,204,72,out,51,169,120.71,0,3,2,16,6
RD Gaikwad ,CSK,2021,16,16,2,635,101,not out,45.35,466,136.26,1,4,0,64,23
RD Gaikwad ,CSK,2022,14,14,0,368,99,out,26.28,291,126.46,0,3,2,33,14
RD Gaikwad ,CSK,2023,16,15,1,590,92,out,42.14,400,147.5,0,4,0,46,30
RD Gaikwad ,CSK,2024,14,14,3,583,108,not out,53,413,141.16,1,4,2,58,18
RD Gaikwad ,CSK,2025,5,5,0,122,63,out,24.4,81,150.61,0,2,1,14,4
RD Rickelton ,MI,2025,12,12,1,336,62,not out,30.54,219,153.42,0,3,0,42,15
RG Sharma ,MI,2020,12,12,0,332,80,out,27.66,260,127.69,0,3,1,27,19
RG Sharma ,MI,2021,13,13,0,381,63,out,29.3,299,127.42,0,1,0,33,14
RG Sharma ,MI,2022,14,14,0,268,48,out,19.14,223,120.17,0,0,1,28,13
RG Sharma ,MI,2023,16,16,0,332,65,out,20.75,250,132.8,0,2,2,35,17
RG Sharma ,MI,2024,14,14,1,417,105,not out,32.07,278,150,1,1,1,45,23
RG Sharma ,MI,2025,11,11,1,300,76,not out,30,197,152.28,0,3,1,28,17
RJW Topley ,RCB,2024,4,1,1,3,3,not out,0,6,50,0,0,0,0,0
RK Bhui ,DC,2024,2,2,0,3,3,out,1.5,9,33.33,0,0,1,0,0
RK Singh ,KKR,2020,1,1,0,11,11,out,11,11,100,0,0,0,1,0
RK Singh ,KKR,2022,7,7,2,174,42,not out,34.8,117,148.71,0,0,0,17,7
RK Singh ,KKR,2023,14,14,6,474,67,not out,59.25,317,149.52,0,4,0,31,29
RK Singh ,KKR,2024,15,11,2,168,26,out,18.66,113,148.67,0,0,0,13,8
RK Singh ,KKR,2025,12,10,4,197,38,not out,32.83,128,153.9,0,0,0,20,9
RM Patidar ,RCB,2021,4,4,0,71,31,out,17.75,62,114.51,0,0,0,3,3
